indicator,horizon,q05,q50,q95
union_membership_rate,1,10.125069338696939,11.100000000019282,12.074930661341625
union_membership_rate,2,9.721239836536782,11.100000000019282,12.478760163501782
union_membership_rate,3,9.411370560969328,11.100000000019282,12.788629439069236
union_membership_rate,4,9.150138677656578,11.100000000019282,13.049861322381986
union_membership_rate,5,8.919988768289981,11.100000000019282,13.280011231748583
union_membership_rate,6,8.711917345569113,11.100000000019282,13.488082654469451
union_membership_rate,7,8.520575925054942,11.100000000019282,13.679424074983622
union_membership_rate,8,8.342479673253672,11.100000000019282,13.857520326784892
union_membership_rate,9,8.175208016553555,11.100000000019282,14.02479198348501
union_membership_rate,10,8.016998550041476,11.100000000019282,14.183001449997088
union_membership_rate,11,7.86652080036682,11.100000000019282,14.333479199671743
union_membership_rate,12,7.7227411220821764,11.100000000019282,14.477258877956388
union_membership_rate,13,7.584837511225221,11.100000000019282,14.615162488813343
union_membership_rate,14,7.452143490143279,11.100000000019282,14.747856509895286
union_membership_rate,15,7.324109785690402,11.100000000019282,14.875890214348162
trust_media_pct,1,24.521028071899604,31.73845035128392,38.95587263066824
trust_media_pct,2,23.457813398487104,31.73845035128392,40.019087304080735
trust_media_pct,3,22.51637291021376,31.73845035128392,40.96052779235408
trust_media_pct,4,21.662514845626585,31.73845035128392,41.81438585694126
trust_media_pct,5,20.87556674244243,31.73845035128392,42.60133396012541
trust_media_pct,6,20.14189895510117,31.73845035128392,43.33500174746667
trust_media_pct,7,19.45196312875448,31.73845035128392,44.02493757381336
trust_media_pct,8,18.798762091729515,31.73845035128392,44.678138610838324
trust_media_pct,9,18.176986704629805,31.73845035128392,45.299913997938035
trust_media_pct,10,17.582495412651483,31.73845035128392,45.89440528991636
trust_media_pct,11,17.011983558136855,31.73845035128392,46.464917144430984
trust_media_pct,12,16.462764173742364,31.73845035128392,47.014136528825475
trust_media_pct,13,15.932617498194361,31.73845035128392,47.54428320437348
trust_media_pct,14,15.419684584079704,31.73845035128392,48.057216118488135
trust_media_pct,15,14.922390166152944,31.73845035128392,48.554510536414895
vep_turnout_pct,1,25.789487942987076,49.23402977096943,72.67857159895178
vep_turnout_pct,2,25.155872175499802,49.23402977096943,73.31218736643905
vep_turnout_pct,3,24.538507811299713,49.23402977096943,73.92955173063915
vep_turnout_pct,4,23.936205031897753,49.23402977096943,74.5318545100411
vep_turnout_pct,5,23.34791248395544,49.23402977096943,75.12014705798342
vep_turnout_pct,6,22.77269571795347,49.23402977096943,75.69536382398539
vep_turnout_pct,7,22.209719760655393,49.23402977096943,76.25833978128347
vep_turnout_pct,8,21.658234892093912,49.23402977096943,76.80982464984494
vep_turnout_pct,9,21.11756493503967,49.23402977096943,77.35049460689919
vep_turnout_pct,10,20.587097534893392,49.23402977096943,77.88096200704547
vep_turnout_pct,11,20.066276031495594,49.23402977096943,78.40178351044327
vep_turnout_pct,12,19.55459261534184,49.23402977096943,78.91346692659701
vep_turnout_pct,13,19.05158252852228,49.23402977096943,79.41647701341657
vep_turnout_pct,14,18.556819121835062,49.23402977096943,79.9112404201038
vep_turnout_pct,15,18.0699096184668,49.23402977096943,80.39814992347206
